eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
20.8,21.0,5,0.0,Stimuli\Blank.png,0,0,0,18,18,18,,,,,,,,,,,,,20.816639199998463,0.016639199998461862,None,66.74134449999838,66.74134449999838,66.74134449999838,66.74134449999838,66.74134449999838,66.74134449999838,66.74134449999838,66.74134449999838,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
21.0,21.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Dryer_00001.png,0,0,0,19,19,19,,,,,,,,,,,,,21.00134479999906,0.001344799999060342,None,66.92375509999692,66.92375509999692,66.92375509999692,66.92375509999692,66.92375509999692,66.92375509999692,66.92375509999692,66.92375509999692,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
21.8,22.0,5,0.0,Stimuli\Blank.png,0,0,0,20,20,20,,,,,,,,,,,,,21.80105679999906,0.0010567999990591659,None,67.72443369999746,67.72443369999746,67.72443369999746,67.72443369999746,67.72443369999746,67.72443369999746,67.72443369999746,67.72443369999746,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
22.0,22.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Baseball_00001.png,0,0,0,21,21,21,,,,,,,,,,,,,22.00119409999752,0.0011940999975195155,None,67.92460439999923,67.92460439999923,67.92460439999923,67.92460439999923,67.92460439999923,67.92460439999923,67.92460439999923,67.92460439999923,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
22.8,23.0,5,0.0,Stimuli\Blank.png,0,0,0,22,22,22,,,,,,,,,,,,,22.80284439999741,0.002844399997410818,None,68.72530959999858,68.72530959999858,68.72530959999858,68.72530959999858,68.72530959999858,68.72530959999858,68.72530959999858,68.72530959999858,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
23.0,23.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_GarbageCan_00001.png,0,0,0,23,23,23,,,,,,,,,,,,,23.002698899999814,0.002698899999813875,None,68.94223679999777,68.94223679999777,68.94223679999777,68.94223679999777,68.94223679999777,68.94223679999777,68.94223679999777,68.94223679999777,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
23.8,24.0,5,0.0,Stimuli\Blank.png,0,0,0,24,24,24,,,,,,,,,,,,,23.81986649999817,0.019866499998169473,None,69.74292559999958,69.74292559999958,69.74292559999958,69.74292559999958,69.74292559999958,69.74292559999958,69.74292559999958,69.74292559999958,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
24.0,24.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Whistle_00001.png,0,0,0,25,25,25,,,,,,,,,,,,,24.00338819999888,0.0033881999988807365,None,69.9264583999975,69.9264583999975,69.9264583999975,69.9264583999975,69.9264583999975,69.9264583999975,69.9264583999975,69.9264583999975,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
24.8,25.0,5,0.0,Stimuli\Blank.png,0,0,0,26,26,26,,,,,,,,,,,,,24.80491979999715,0.00491979999715042,None,70.72709379999651,70.72709379999651,70.72709379999651,70.72709379999651,70.72709379999651,70.72709379999651,70.72709379999651,70.72709379999651,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
25.0,25.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Bench_00001.png,0,0,0,27,27,27,,,,,,,,,,,,,25.00545829999828,0.005458299998281291,None,70.94399359999807,70.94399359999807,70.94399359999807,70.94399359999807,70.94399359999807,70.94399359999807,70.94399359999807,70.94399359999807,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
