eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
30.8,31.0,5,0.0,Stimuli\Blank.png,0,0,0,38,38,38,,,,,,,,,,,,,30.84390919999896,0.0439091999989607,None,54.46640860000116,54.46640860000116,54.46640860000116,54.46640860000116,54.46640860000116,54.46640860000116,54.46640860000116,54.46640860000116,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
31.0,31.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_SittingChair_00003.png,0,0,0,39,39,39,,,,,,,,,,,,,31.00993589999962,0.009935899999618414,None,54.64967590000015,54.64967590000015,54.64967590000015,54.64967590000015,54.64967590000015,54.64967590000015,54.64967590000015,54.64967590000015,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
31.8,32.0,5,0.0,Stimuli\Blank.png,0,0,0,40,40,40,,,,,,,,,,,,,31.826894199999515,0.026894199999514257,None,55.450233200001094,55.450233200001094,55.450233200001094,55.450233200001094,55.450233200001094,55.450233200001094,55.450233200001094,55.450233200001094,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
32.0,32.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_SittingChair_00003.png,1,1,0,41,41,41,,,,,,,,,,,,,32.010195900000326,0.010195900000326219,None,55.633728200000405,55.633728200000405,55.633728200000405,55.633728200000405,55.633728200000405,55.633728200000405,55.633728200000405,55.633728200000405,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
32.8,33.0,5,0.0,Stimuli\Blank.png,0,0,0,42,42,42,,,,,,,,,,,,,32.81094789999952,0.010947899999521837,None,56.43443169999955,56.43443169999955,56.43443169999955,56.43443169999955,56.43443169999955,56.43443169999955,56.43443169999955,56.43443169999955,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
33.0,33.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Punching_00003.png,0,0,0,43,43,43,,,,,,,,,,,,,33.011960899999394,0.011960899999394314,None,56.65131050000127,56.65131050000127,56.65131050000127,56.65131050000127,56.65131050000127,56.65131050000127,56.65131050000127,56.65131050000127,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
33.8,34.0,5,0.0,Stimuli\Blank.png,0,0,0,44,44,44,,,,,,,,,,,,,33.82977629999914,0.029776299999141997,None,57.4520033000008,57.4520033000008,57.4520033000008,57.4520033000008,57.4520033000008,57.4520033000008,57.4520033000008,57.4520033000008,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
34.0,34.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Kicking_00007.png,0,0,0,45,45,45,,,,,,,,,,,,,34.01187860000027,0.011878600000272854,None,57.635498100000405,57.635498100000405,57.635498100000405,57.635498100000405,57.635498100000405,57.635498100000405,57.635498100000405,57.635498100000405,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
34.8,35.0,5,0.0,Stimuli\Blank.png,0,0,0,46,46,46,,,,,,,,,,,,,34.814830499999516,0.01483049999951902,None,58.452894000000015,58.452894000000015,58.452894000000015,58.452894000000015,58.452894000000015,58.452894000000015,58.452894000000015,58.452894000000015,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
35.0,35.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Kneeling_00003.png,0,0,0,47,47,47,,,,,,,,,,,,,35.030134599999656,0.03013459999965562,None,58.669818100001066,58.669818100001066,58.669818100001066,58.669818100001066,58.669818100001066,58.669818100001066,58.669818100001066,58.669818100001066,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
35.8,36.0,5,0.0,Stimuli\Blank.png,0,0,0,48,48,48,,,,,,,,,,,,,35.83032739999908,0.03032739999908074,None,59.45377250000092,59.45377250000092,59.45377250000092,59.45377250000092,59.45377250000092,59.45377250000092,59.45377250000092,59.45377250000092,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
36.0,36.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_CobraPose_00003.png,0,0,0,49,49,49,,,,,,,,,,,,,36.01419250000072,0.0141925000007177,None,59.670690500001,59.670690500001,59.670690500001,59.670690500001,59.670690500001,59.670690500001,59.670690500001,59.670690500001,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
36.8,37.0,5,0.0,Stimuli\Blank.png,0,0,0,50,50,50,,,,,,,,,,,,,36.84910200000013,0.04910200000013276,None,60.47135309999976,60.47135309999976,60.47135309999976,60.47135309999976,60.47135309999976,60.47135309999976,60.47135309999976,60.47135309999976,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
