eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.rt,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
28.8,29.0,5,0.0,Stimuli\Blank.png,0,0,0,34,34,34,,,,,,,,,,,,,28.823931700000685,0.02393170000068423,None,,60.901296099999854,60.901296099999854,60.901296099999854,60.901296099999854,60.901296099999854,60.901296099999854,60.901296099999854,60.901296099999854,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
29.0,29.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_QuadStretch_00003.png,0,0,0,35,35,35,,,,,,,,,,,,,29.00918510000065,0.009185100000649982,None,,61.10145000000011,61.10145000000011,61.10145000000011,61.10145000000011,61.10145000000011,61.10145000000011,61.10145000000011,61.10145000000011,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
29.8,30.0,5,0.0,Stimuli\Blank.png,0,0,0,36,36,36,,,,,,,,,,,,,29.82450880000033,0.024508800000329956,None,,61.90213609999955,61.90213609999955,61.90213609999955,61.90213609999955,61.90213609999955,61.90213609999955,61.90213609999955,61.90213609999955,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
30.0,30.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Standing_00005.png,0,0,0,37,37,37,,,,,,,,,,,,,30.00978700000087,0.009787000000869739,None,,62.1023266000002,62.1023266000002,62.1023266000002,62.1023266000002,62.1023266000002,62.1023266000002,62.1023266000002,62.1023266000002,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
30.8,31.0,5,0.0,Stimuli\Blank.png,0,0,0,38,38,38,,,,,,,,,,,,,30.82505520000086,0.025055200000860367,None,,62.903022800000144,62.903022800000144,62.903022800000144,62.903022800000144,62.903022800000144,62.903022800000144,62.903022800000144,62.903022800000144,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
31.0,31.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Punching_00006.png,0,0,0,39,39,39,,,,,,,,,,,,,31.010027200000877,0.010027200000877201,None,,63.103213100000175,63.103213100000175,63.103213100000175,63.103213100000175,63.103213100000175,63.103213100000175,63.103213100000175,63.103213100000175,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
31.8,32.0,5,0.0,Stimuli\Blank.png,0,0,0,40,40,40,,,,,,,,,,,,,31.82683470000029,0.026834700000289757,None,,63.90390149999985,63.90390149999985,63.90390149999985,63.90390149999985,63.90390149999985,63.90390149999985,63.90390149999985,63.90390149999985,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
32.0,32.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_SittingFloor_00005.png,0,0,0,41,41,41,,,,,,,,,,,,,32.009865800000625,0.009865800000625313,None,,64.10407359999954,64.10407359999954,64.10407359999954,64.10407359999954,64.10407359999954,64.10407359999954,64.10407359999954,64.10407359999954,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
32.8,33.0,5,0.0,Stimuli\Blank.png,0,0,0,42,42,42,,,,,,,,,,,,,32.82920390000072,0.029203900000723593,None,,64.92146849999972,64.92146849999972,64.92146849999972,64.92146849999972,64.92146849999972,64.92146849999972,64.92146849999972,64.92146849999972,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
33.0,33.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Kneeling_00003.png,0,0,0,43,43,43,,,,,,,,,,,,,33.029648000000634,0.029648000000634056,None,,65.12166330000036,65.12166330000036,65.12166330000036,65.12166330000036,65.12166330000036,65.12166330000036,65.12166330000036,65.12166330000036,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
