eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,participantResponse.rt,session,participant,date,expName,psychopyVersion,frameRate,
33.0,33.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Kneeling_00007.png,1,1,0,43,43,43,,,,,,,,,,,,,33.01106389999768,0.011063899997679982,2,67.83170750000136,67.83170750000136,67.83170750000136,67.83170750000136,67.83170750000136,67.83170750000136,67.83170750000136,67.83170750000136,0.3101855999993859,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
33.8,34.0,5,0.0,Stimuli\Blank.png,0,0,0,44,44,44,,,,,,,,,,,,,33.81173489999492,0.011734899994920056,None,68.63237980000122,68.63237980000122,68.63237980000122,68.63237980000122,68.63237980000122,68.63237980000122,68.63237980000122,68.63237980000122,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
34.0,34.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_SittingFloor_00003.png,0,0,0,45,45,45,,,,,,,,,,,,,34.01208999999653,0.012089999996533152,None,68.84923790000175,68.84923790000175,68.84923790000175,68.84923790000175,68.84923790000175,68.84923790000175,68.84923790000175,68.84923790000175,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
34.8,35.0,5,0.0,Stimuli\Blank.png,0,0,0,46,46,46,,,,,,,,,,,,,34.83005759999651,0.030057599996510476,None,69.64995490000001,69.64995490000001,69.64995490000001,69.64995490000001,69.64995490000001,69.64995490000001,69.64995490000001,69.64995490000001,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
35.0,35.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Punching_00006.png,0,0,0,47,47,47,,,,,,,,,,,,,35.012223099998664,0.012223099998664111,None,69.83343099999911,69.83343099999911,69.83343099999911,69.83343099999911,69.83343099999911,69.83343099999911,69.83343099999911,69.83343099999911,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
35.8,36.0,5,0.0,Stimuli\Blank.png,0,0,0,48,48,48,,,,,,,,,,,,,35.81299049999507,0.012990499995069626,None,70.63414520000515,70.63414520000515,70.63414520000515,70.63414520000515,70.63414520000515,70.63414520000515,70.63414520000515,70.63414520000515,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
36.0,36.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Crawling_00006.png,0,0,0,49,49,49,,,,,,,,,,,,,36.014218899996195,0.014218899996194523,None,70.85103610000078,70.85103610000078,70.85103610000078,70.85103610000078,70.85103610000078,70.85103610000078,70.85103610000078,70.85103610000078,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
36.8,37.0,5,0.0,Stimuli\Blank.png,0,0,0,50,50,50,,,,,,,,,,,,,36.83167829999729,0.03167829999729577,None,71.6517301000058,71.6517301000058,71.6517301000058,71.6517301000058,71.6517301000058,71.6517301000058,71.6517301000058,71.6517301000058,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
37.0,37.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Jumping_00004.png,0,0,0,51,51,51,,,,,,,,,,,,,37.01584400000138,0.015844000001379754,None,71.8518966000047,71.8518966000047,71.8518966000047,71.8518966000047,71.8518966000047,71.8518966000047,71.8518966000047,71.8518966000047,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
37.8,38.0,5,0.0,Stimuli\Blank.png,0,0,0,52,52,52,,,,,,,,,,,,,37.815304700001434,0.0153047000014368,None,72.63593430000037,72.63593430000037,72.63593430000037,72.63593430000037,72.63593430000037,72.63593430000037,72.63593430000037,72.63593430000037,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
