subject,runtype,smoothing,median_rel,mean_rel,ROI,run
02,miniblock,unsmoothed,0.041013192435954665,0.05013627447311021,EVC,2
02,miniblock,unsmoothed,0.08644023321922971,0.08283698101878212,EVC,3
02,miniblock,sm_2_vox,0.13630905433085913,0.17594271721664398,EVC,1
02,miniblock,sm_2_vox,0.13228830805313485,0.15968960486145642,EVC,2
02,miniblock,sm_2_vox,0.16438202251265827,0.17355458883476307,EVC,3
02,sus,unsmoothed,0.06765178778855038,0.09062951773179248,EVC,1
02,sus,unsmoothed,0.08520425079927516,0.09439008859513082,EVC,2
02,sus,unsmoothed,0.05885488652148618,0.06770732268103902,EVC,3
02,sus,sm_2_vox,0.1257428420507354,0.17763187426659785,EVC,1
02,sus,sm_2_vox,0.10930755338979167,0.14887617292401722,EVC,2
02,sus,sm_2_vox,0.10128178346303507,0.12285066766499127,EVC,3
02,er,unsmoothed,0.06712165110270488,0.06147347747655081,EVC,1
02,er,unsmoothed,0.05671452932945176,0.05495049905723305,EVC,2
02,er,unsmoothed,0.02648575747327242,0.024967626714168453,EVC,3
02,er,sm_2_vox,0.15108885140993436,0.141115181205159,EVC,1
02,er,sm_2_vox,0.10123468822666591,0.10666645037382458,EVC,2
02,er,sm_2_vox,0.054626750296836876,0.05423765991708974,EVC,3
03,miniblock,unsmoothed,0.019497719677913437,0.022232635918571064,visually_responsive_voxels,1
03,miniblock,unsmoothed,-0.025205779546926668,-0.021804877161664966,visually_responsive_voxels,2
03,miniblock,unsmoothed,0.0009040905402917312,0.002190062523079688,visually_responsive_voxels,3
03,miniblock,sm_2_vox,0.0410084749799339,0.048698172078000285,visually_responsive_voxels,1
03,miniblock,sm_2_vox,-0.0030338588233130917,0.004783055375184279,visually_responsive_voxels,2
03,miniblock,sm_2_vox,0.026479827243955555,0.03765498107417485,visually_responsive_voxels,3
03,sus,unsmoothed,0.003957271532029447,0.006997851383458722,visually_responsive_voxels,1
03,sus,unsmoothed,-0.00260183829268466,-0.00276634412565783,visually_responsive_voxels,2
03,sus,unsmoothed,0.005490886906265402,0.005893243110947425,visually_responsive_voxels,3
03,sus,sm_2_vox,0.028059444554255016,0.03282972061046185,visually_responsive_voxels,1
03,sus,sm_2_vox,0.0011507255700041186,0.001795908203579411,visually_responsive_voxels,2
03,sus,sm_2_vox,0.03400699162323412,0.03467790813562919,visually_responsive_voxels,3
03,er,unsmoothed,0.0017578788136268508,0.0009790049061909436,visually_responsive_voxels,1
03,er,unsmoothed,0.04646624301805401,0.043857371787001324,visually_responsive_voxels,2
03,er,unsmoothed,-0.046358289942735324,-0.046439024593911984,visually_responsive_voxels,3
03,er,sm_2_vox,0.004711851934145007,0.006088430979682415,visually_responsive_voxels,1
03,er,sm_2_vox,0.03507449032145541,0.03722181434573051,visually_responsive_voxels,2
