,ROI,runtype,component,value
266,EBA,miniblock,33,0.6797365304496198
267,EBA,miniblock,34,0.681219766008738
268,EBA,miniblock,35,0.6826057372858123
269,EBA,miniblock,36,0.6838731587784022
270,EBA,miniblock,37,0.6852808808051083
271,EBA,miniblock,38,0.6866742399063055
272,EBA,miniblock,39,0.6878460515081483
273,EVC,miniblock,1,0.6409430812564281
274,EVC,miniblock,2,0.6797536755176339
275,EVC,miniblock,3,0.7003464074773433
276,EVC,miniblock,4,0.7162891707445791
277,EVC,miniblock,5,0.7277529677440506
278,EVC,miniblock,6,0.7367626339414063
279,EVC,miniblock,7,0.7441020924951401
280,EVC,miniblock,8,0.7512389934653088
281,EVC,miniblock,9,0.7578562675287216
282,EVC,miniblock,10,0.7631393253563888
283,EVC,miniblock,11,0.7675825285323263
284,EVC,miniblock,12,0.7718692145002009
285,EVC,miniblock,13,0.7753493362683364
286,EVC,miniblock,14,0.7788185751471076
287,EVC,miniblock,15,0.7817098256351579
288,EVC,miniblock,16,0.7844976978862845
289,EVC,miniblock,17,0.7871067732169628
290,EVC,miniblock,18,0.789290227806298
291,EVC,miniblock,19,0.7914389525660444
292,EVC,miniblock,20,0.7934336010732568
293,EVC,miniblock,21,0.7952458486179015
294,EVC,miniblock,22,0.7970299661989377
295,EVC,miniblock,23,0.7986254737328854
296,EVC,miniblock,24,0.8002303908005102
297,EVC,miniblock,25,0.8016168239143091
298,EVC,miniblock,26,0.8029127095388588
299,EVC,miniblock,27,0.804143741667812
300,EVC,miniblock,28,0.8053490200791646
301,EVC,miniblock,29,0.80662330516862
302,EVC,miniblock,30,0.8077058774954139
303,EVC,miniblock,31,0.8087672667503456
304,EVC,miniblock,32,0.8096982368009122
305,EVC,miniblock,33,0.8106449055155652
306,EVC,miniblock,34,0.8115262594553322
307,EVC,miniblock,35,0.8123390804800807
308,EVC,miniblock,36,0.8131549604709996
309,EVC,miniblock,37,0.8138020741334284
310,EVC,miniblock,38,0.8144559514010682
311,EVC,miniblock,39,0.8150688713738499
312,FFA,er,1,0.24016731777948436
313,FFA,er,2,0.29662595752045695
314,FFA,er,3,0.34103274681272777
315,FFA,er,4,0.3719469531850232
316,FFA,er,5,0.3955592447403077
317,FFA,er,6,0.4158950926250685
318,FFA,er,7,0.4328946812668316
319,FFA,er,8,0.44801124558755767
320,FFA,er,9,0.46151005379586135
321,FFA,er,10,0.47275489117902747
322,FFA,er,11,0.48378690184368145
323,FFA,er,12,0.4938550608427468
324,FFA,er,13,0.5029541031848409
325,FFA,er,14,0.51152635353325
326,FFA,er,15,0.5195658987903553
327,FFA,er,16,0.5266276294780066
328,FFA,er,17,0.5337605426214603
329,FFA,er,18,0.5403007842093792
330,FFA,er,19,0.5464885478105724
331,FFA,er,20,0.5524181987106747
332,FFA,er,21,0.557758771644678
333,FFA,er,22,0.5628135144442752
334,FFA,er,23,0.5676032410777074
335,FFA,er,24,0.572020801509561
336,FFA,er,25,0.5766437032318968
337,FFA,er,26,0.5808017045144913
338,FFA,er,27,0.5851258632894057
339,FFA,er,28,0.5887242639939927
340,FFA,er,29,0.5924244299050309
341,FFA,er,30,0.5957102459233659
342,FFA,er,31,0.5991367123536696
343,FFA,er,32,0.6024152823360918
344,FFA,er,33,0.6055117784224817
345,FFA,er,34,0.6084313076499406
346,FFA,er,35,0.6112097911505749
347,FFA,er,36,0.6141233150983892
348,FFA,er,37,0.6166670347107153
349,FFA,er,38,0.6192832647462934
350,FFA,er,39,0.6217674309328369
351,PPA,er,1,0.16971374325713848
352,PPA,er,2,0.22763207803328167
353,PPA,er,3,0.26812637167279185
354,PPA,er,4,0.29590636066218784
355,PPA,er,5,0.31910417333371144
356,PPA,er,6,0.3382719799936014
357,PPA,er,7,0.355217601101087
358,PPA,er,8,0.37160010229058493
359,PPA,er,9,0.3856878507347271
360,PPA,er,10,0.3993767645577828
361,PPA,er,11,0.41228466053032137
362,PPA,er,12,0.42265663150501187
363,PPA,er,13,0.4324503661025515
364,PPA,er,14,0.441737589977798
365,PPA,er,15,0.45036189926331227
366,PPA,er,16,0.4578645563279897
367,PPA,er,17,0.46521360086872204
368,PPA,er,18,0.4728072508470012
369,PPA,er,19,0.4800483261307436
370,PPA,er,20,0.48666177142836603
371,PPA,er,21,0.4930733393444869
372,PPA,er,22,0.498769101772034
373,PPA,er,23,0.5039979553376482
374,PPA,er,24,0.5091825866716301
375,PPA,er,25,0.5145161070814743
376,PPA,er,26,0.5193815635522808
377,PPA,er,27,0.5241179421465888
378,PPA,er,28,0.5285826379868449
