subject,runtype,smoothing,median_rel,mean_rel,ROI,comparison
02,miniblock,sm_2_vox,0.4982467841791526,0.4485857597354335,PPA,2
02,miniblock,sm_2_vox,0.5136647793187924,0.43489319919876446,PPA,3
02,sus,unsmoothed,0.127690425896197,0.14450926896714525,PPA,1
02,sus,unsmoothed,0.11305287965246988,0.11026868605615396,PPA,2
02,sus,unsmoothed,0.14075914658271926,0.14825502315708655,PPA,3
02,sus,sm_2_vox,0.42596831548253944,0.3784283322121446,PPA,1
02,sus,sm_2_vox,0.3375212062783397,0.31375870306298337,PPA,2
02,sus,sm_2_vox,0.41916683102892227,0.3747893124518791,PPA,3
02,er,unsmoothed,0.013376067843860686,0.006031493252350648,PPA,1
02,er,unsmoothed,0.05479584825637916,0.045594044753513537,PPA,2
02,er,unsmoothed,0.021899045625541756,0.029060932618528632,PPA,3
02,er,sm_2_vox,0.08824444132970644,0.07142700214185085,PPA,1
02,er,sm_2_vox,0.1499140021476304,0.14803373532488717,PPA,2
02,er,sm_2_vox,0.11664658899857946,0.09080358874123398,PPA,3
02,miniblock,unsmoothed,0.13488090496138658,0.1537384615851869,EBA,1
02,miniblock,unsmoothed,0.08595031698836356,0.08761763777656371,EBA,2
02,miniblock,unsmoothed,0.12295253370848441,0.12381823055032035,EBA,3
02,miniblock,sm_2_vox,0.30218811756037856,0.29498536153487664,EBA,1
02,miniblock,sm_2_vox,0.21335262490866316,0.23840490358241662,EBA,2
02,miniblock,sm_2_vox,0.27546973576074724,0.277175864506721,EBA,3
02,sus,unsmoothed,0.10454409820077294,0.1250834897608603,EBA,1
02,sus,unsmoothed,0.03897308977265356,0.05440797536297488,EBA,2
02,sus,unsmoothed,0.11499241346743128,0.1320840452055122,EBA,3
02,sus,sm_2_vox,0.26758440591160926,0.2813966423865069,EBA,1
02,sus,sm_2_vox,0.18954431434909164,0.20779346151142938,EBA,2
02,sus,sm_2_vox,0.21596049362468528,0.24936206777787953,EBA,3
02,er,unsmoothed,0.023478957035966946,0.02625574840237844,EBA,1
02,er,unsmoothed,0.09746964525107087,0.0997902131018474,EBA,2
02,er,unsmoothed,0.05633130263244332,0.05850937930608414,EBA,3
02,er,sm_2_vox,0.12086804575488104,0.12123543747469402,EBA,1
02,er,sm_2_vox,0.20973872188968462,0.20574343676500945,EBA,2
02,er,sm_2_vox,0.07877823493285506,0.08332264379379037,EBA,3
02,miniblock,unsmoothed,0.11973025400067498,0.144469078984351,EVC,1
02,miniblock,unsmoothed,0.07587950418339036,0.08886226149367746,EVC,2
02,miniblock,unsmoothed,0.13142491765056896,0.1474682449639945,EVC,3
02,miniblock,sm_2_vox,0.21814025791429192,0.27177882414330784,EVC,1
02,miniblock,sm_2_vox,0.21196805336536265,0.2553572038374015,EVC,2
02,miniblock,sm_2_vox,0.15875932449709318,0.23334932461064342,EVC,3
02,sus,unsmoothed,0.1392247521464237,0.16297785756021085,EVC,1
02,sus,unsmoothed,0.05982009130245358,0.08287390425603007,EVC,2
02,sus,unsmoothed,0.10147937349205696,0.12524163890638992,EVC,3
02,sus,sm_2_vox,0.2451601949333932,0.2785233152137017,EVC,1
02,sus,sm_2_vox,0.17125330956833973,0.20955804482959603,EVC,2
02,sus,sm_2_vox,0.1974412259269716,0.24038255249100934,EVC,3
02,er,unsmoothed,0.02442496642932535,0.02940149208212878,EVC,1
02,er,unsmoothed,0.06899487141863347,0.06836434456441835,EVC,2
02,er,unsmoothed,0.023618426021224558,0.02884153965325329,EVC,3
02,er,sm_2_vox,0.08065449988837817,0.0882804555821749,EVC,1
02,er,sm_2_vox,0.08083259177182447,0.09857687480752284,EVC,2
02,er,sm_2_vox,0.057583715610820624,0.07169131302275038,EVC,3
03,miniblock,unsmoothed,0.007510417822015047,0.011175967853714679,visually_responsive_voxels,1
03,miniblock,unsmoothed,0.022118905245983506,0.02618367971620926,visually_responsive_voxels,2
03,miniblock,unsmoothed,0.018435369530287286,0.022361182744629112,visually_responsive_voxels,3
03,miniblock,sm_2_vox,0.03839246356427088,0.053889804229966254,visually_responsive_voxels,1
03,miniblock,sm_2_vox,0.05195564363246995,0.06852936176866077,visually_responsive_voxels,2
03,miniblock,sm_2_vox,0.05672600088514733,0.07185962018475797,visually_responsive_voxels,3
03,sus,unsmoothed,-0.0014586291496780958,0.001088626238974824,visually_responsive_voxels,1
03,sus,unsmoothed,0.013967251254074478,0.018347905001880428,visually_responsive_voxels,2
03,sus,unsmoothed,0.014628351993940608,0.018589858327892127,visually_responsive_voxels,3
03,sus,sm_2_vox,0.0022369923597950134,0.014169551090352143,visually_responsive_voxels,1
03,sus,sm_2_vox,0.06021832438913681,0.0805787954917545,visually_responsive_voxels,2
03,sus,sm_2_vox,0.07137610985535449,0.07733258392768105,visually_responsive_voxels,3
03,er,unsmoothed,0.004334307032458042,0.005022973627590263,visually_responsive_voxels,1
03,er,unsmoothed,-0.0022513471115333215,-0.0028538581911358293,visually_responsive_voxels,2
03,er,unsmoothed,-0.014409475831136269,-0.013256467279131474,visually_responsive_voxels,3
03,er,sm_2_vox,0.015088507244485724,0.01579229158307182,visually_responsive_voxels,1
03,er,sm_2_vox,0.045056737798120736,0.04331485614715714,visually_responsive_voxels,2
03,er,sm_2_vox,0.0005358111209598573,0.0056124661593105404,visually_responsive_voxels,3
03,miniblock,unsmoothed,0.04187291032687418,0.05091982371167002,FFA,1
03,miniblock,unsmoothed,0.06819534924416229,0.07181089769836337,FFA,2
03,miniblock,unsmoothed,0.06075909137633548,0.060591548499017225,FFA,3
03,miniblock,sm_2_vox,0.17721227701604342,0.17869198828594302,FFA,1
03,miniblock,sm_2_vox,0.16649671816357403,0.16686811009524713,FFA,2
03,miniblock,sm_2_vox,0.19611162362370288,0.20447562387099188,FFA,3
