,ROI,Design,Subject,Accuracy,group
230,FFA,miniblock,19,59.51754379272461,scene
231,FFA,miniblock,20,57.407405853271484,isanimate
232,FFA,miniblock,20,54.074073791503906,inanimate
233,FFA,miniblock,20,52.543861389160156,scene
234,FFA,miniblock,21,70.18518829345703,isanimate
235,FFA,miniblock,21,71.11111450195312,inanimate
236,FFA,miniblock,21,59.78070068359375,scene
237,FFA,miniblock,22,74.0740737915039,isanimate
238,FFA,miniblock,22,77.96295928955078,inanimate
239,FFA,miniblock,22,75.6140365600586,scene
240,FFA,sus,01,81.85185241699219,isanimate
241,FFA,sus,01,60.74074172973633,inanimate
242,FFA,sus,01,68.28947448730469,scene
243,FFA,sus,02,83.51851654052734,isanimate
244,FFA,sus,02,64.81481170654297,inanimate
245,FFA,sus,02,69.91227722167969,scene
246,FFA,sus,03,68.88888549804688,isanimate
247,FFA,sus,03,55.925926208496094,inanimate
248,FFA,sus,03,59.42982482910156,scene
249,FFA,sus,04,70.9259262084961,isanimate
250,FFA,sus,04,42.407405853271484,inanimate
251,FFA,sus,04,66.18421173095703,scene
252,FFA,sus,05,71.11111450195312,isanimate
253,FFA,sus,05,73.70370483398438,inanimate
254,FFA,sus,05,60.877193450927734,scene
255,FFA,sus,06,70.18518829345703,isanimate
256,FFA,sus,06,56.85185241699219,inanimate
257,FFA,sus,06,60.52631759643555,scene
258,FFA,sus,07,74.0740737915039,isanimate
259,FFA,sus,07,59.62963104248047,inanimate
260,FFA,sus,07,57.061405181884766,scene
261,FFA,sus,08,68.88888549804688,isanimate
262,FFA,sus,08,66.66666412353516,inanimate
263,FFA,sus,08,69.51754760742188,scene
264,FFA,sus,10,66.48148345947266,isanimate
265,FFA,sus,10,51.85185241699219,inanimate
266,FFA,sus,10,57.6315803527832,scene
267,FFA,sus,11,64.62963104248047,isanimate
268,FFA,sus,11,71.29629516601562,inanimate
269,FFA,sus,11,64.21052551269531,scene
270,FFA,sus,12,72.03704071044922,isanimate
271,FFA,sus,12,75.37036895751953,inanimate
272,FFA,sus,12,70.92105102539062,scene
273,FFA,sus,13,62.96296310424805,isanimate
274,FFA,sus,13,48.33333206176758,inanimate
275,FFA,sus,13,55.438594818115234,scene
276,FFA,sus,14,67.96295928955078,isanimate
277,FFA,sus,14,54.62963104248047,inanimate
278,FFA,sus,14,56.885963439941406,scene
279,FFA,sus,15,76.11111450195312,isanimate
280,FFA,sus,15,72.77777862548828,inanimate
281,FFA,sus,15,74.60526275634766,scene
282,FFA,sus,17,61.66666793823242,isanimate
283,FFA,sus,17,54.62963104248047,inanimate
284,FFA,sus,17,48.72806930541992,scene
285,FFA,sus,18,78.88888549804688,isanimate
286,FFA,sus,18,64.25926208496094,inanimate
287,FFA,sus,18,70.6140365600586,scene
288,FFA,sus,19,63.14814758300781,isanimate
289,FFA,sus,19,58.14814758300781,inanimate
290,FFA,sus,19,54.385963439941406,scene
291,FFA,sus,20,56.11111068725586,isanimate
292,FFA,sus,20,53.88888931274414,inanimate
293,FFA,sus,20,48.68421173095703,scene
294,FFA,sus,21,73.14814758300781,isanimate
295,FFA,sus,21,67.77777862548828,inanimate
296,FFA,sus,21,68.1140365600586,scene
297,FFA,sus,22,80.74073791503906,isanimate
298,FFA,sus,22,78.70370483398438,inanimate
299,FFA,sus,22,75.78947448730469,scene
300,FFA,er,01,64.0740737915039,isanimate
301,FFA,er,01,54.62963104248047,inanimate
302,FFA,er,01,58.157894134521484,scene
303,FFA,er,02,68.88888549804688,isanimate
304,FFA,er,02,53.51852035522461,inanimate
305,FFA,er,02,63.94736862182617,scene
306,FFA,er,03,58.33333206176758,isanimate
307,FFA,er,03,49.25925827026367,inanimate
308,FFA,er,03,55.1315803527832,scene
309,FFA,er,04,62.77777862548828,isanimate
310,FFA,er,04,44.44444274902344,inanimate
311,FFA,er,04,57.324562072753906,scene
312,FFA,er,05,63.33333206176758,isanimate
313,FFA,er,05,61.85185241699219,inanimate
314,FFA,er,05,54.956138610839844,scene
315,FFA,er,06,63.51852035522461,isanimate
316,FFA,er,06,51.11111068725586,inanimate
317,FFA,er,06,48.72806930541992,scene
318,FFA,er,07,68.14814758300781,isanimate
