subject,runtype,smoothing,split,median_reliability,mean_reliability,maximum_reliability,ROI
03,sus,sm_2_vox,6,0.09335177306410938,0.11674975350924342,0.7208681346535983,EBA
03,sus,sm_2_vox,7,0.1333732455710453,0.15183180539459537,0.7547756599770827,EBA
03,sus,sm_2_vox,8,0.06476682693738339,0.10585574540427613,0.6946072674998253,EBA
03,sus,sm_2_vox,9,0.10212743479087834,0.12164062857086837,0.6914561061777157,EBA
03,sus,sm_2_vox,10,0.045867739443348765,0.07987522198228086,0.7538328065737689,EBA
03,miniblock,unsmoothed,1,0.034027602040507476,0.03050750395701794,0.6275570835142514,EBA
03,miniblock,unsmoothed,2,0.04028684267468716,0.04059982642119615,0.5992001529723392,EBA
03,miniblock,unsmoothed,3,0.041558282104609726,0.037006263604089755,0.5709690764355717,EBA
03,miniblock,unsmoothed,4,0.03555628497979885,0.037380112686754695,0.5848768884831519,EBA
03,miniblock,unsmoothed,5,0.03769507109223396,0.03953788404009979,0.6056852910914541,EBA
03,miniblock,unsmoothed,6,0.029336437713280067,0.027818499188431677,0.5003297311929096,EBA
03,miniblock,unsmoothed,7,0.02758256408280857,0.03240292743836905,0.5374356354193165,EBA
03,miniblock,unsmoothed,8,0.018703832338031502,0.021376714266225526,0.6015351103667346,EBA
03,miniblock,unsmoothed,9,0.009169043690375772,0.0059897573030868465,0.5749028751503505,EBA
03,miniblock,unsmoothed,10,0.018613273272495262,0.024010582475479925,0.6216579893899407,EBA
03,miniblock,sm_2_vox,1,0.1759321860803348,0.17898657382151323,0.6630227181371957,EBA
03,miniblock,sm_2_vox,2,0.2015198190973835,0.18944171597533951,0.7122919761722094,EBA
03,miniblock,sm_2_vox,3,0.1833875896496827,0.1852338963337215,0.7357255980318684,EBA
03,miniblock,sm_2_vox,4,0.15290464373161275,0.15876815581171583,0.6323604436448919,EBA
03,miniblock,sm_2_vox,5,0.20572963193941252,0.21860068507637292,0.7590325172029522,EBA
03,miniblock,sm_2_vox,6,0.17251791750681122,0.1576545585116717,0.732931018395927,EBA
03,miniblock,sm_2_vox,7,0.184709881082732,0.19446066498478004,0.762855484697812,EBA
03,miniblock,sm_2_vox,8,0.16007499392698568,0.1578710347865091,0.7579507420631093,EBA
03,miniblock,sm_2_vox,9,0.1348843527130244,0.1334914812744202,0.7106050555829357,EBA
03,miniblock,sm_2_vox,10,0.16800697845327567,0.15730541596816466,0.6938757475518686,EBA
03,er,unsmoothed,1,0.030282251304919794,0.03209103485309281,0.6932327246755516,EVC
03,er,unsmoothed,2,0.0071538021358122095,0.008783272981514335,0.609256463695484,EVC
03,er,unsmoothed,3,0.007482448597122639,0.009970680695196259,0.6441150027814735,EVC
03,er,unsmoothed,4,-0.024460881566077564,-0.025805100833463702,0.6159809622957277,EVC
03,er,unsmoothed,5,0.013294726748454798,0.01484130806202424,0.6543986770321872,EVC
03,er,unsmoothed,6,-0.023129973570000684,-0.021364129581012373,0.5770778221093301,EVC
03,er,unsmoothed,7,0.02349937287690116,0.02525675639290741,0.6703168766651545,EVC
03,er,unsmoothed,8,0.022292825711095948,0.02575230754458405,0.7210712038308188,EVC
03,er,unsmoothed,9,-0.006630553724342056,-0.005553502330576557,0.6229213487274665,EVC
03,er,unsmoothed,10,-0.002802718643836792,-0.0021187959873369827,0.5867830062501314,EVC
03,er,sm_2_vox,1,0.07617927612086074,0.08289256759297198,0.6768731000593722,EVC
03,er,sm_2_vox,2,0.023725480861128606,0.03218842437484607,0.6520383372165186,EVC
03,er,sm_2_vox,3,0.026582244995958078,0.045817763334432896,0.666459975127801,EVC
03,er,sm_2_vox,4,0.019932209079562155,0.0243642674160867,0.5631327481367818,EVC
03,er,sm_2_vox,5,0.047431429736639906,0.05415725367939164,0.6765534437346146,EVC
03,er,sm_2_vox,6,0.0049933694269395194,0.010673516909844047,0.5557199384735962,EVC
03,er,sm_2_vox,7,0.07607967978778324,0.0854382485895895,0.6777539952152855,EVC
