,subject,ROI,runtype,component,value
564,02,EBA,sus,19,0.6608577635608972
565,02,EBA,sus,20,0.6649417100120313
566,02,EBA,sus,21,0.6681543204342596
567,02,EBA,sus,22,0.6708484620544058
568,02,EBA,sus,23,0.673548961532723
569,02,EBA,sus,24,0.6764431809292786
570,02,EBA,sus,25,0.6785460257955118
571,02,EBA,sus,26,0.681160048652956
572,02,EBA,sus,27,0.6829446381559826
573,02,EBA,sus,28,0.6856544990914468
574,02,EBA,sus,29,0.6873278308990779
575,02,EBA,sus,30,0.6890837127510103
576,02,EBA,sus,31,0.6915520044602635
577,02,EBA,sus,32,0.6934118009154968
578,02,EBA,sus,33,0.695607227341038
579,02,EBA,sus,34,0.6972779207749169
580,02,EBA,sus,35,0.6990979052558673
581,02,EBA,sus,36,0.7007374505520575
582,02,EBA,sus,37,0.7023657624769855
583,02,EBA,sus,38,0.7039514581395986
584,02,EBA,sus,39,0.7053138809385736
585,02,EVC,sus,1,0.6102487209316848
586,02,EVC,sus,2,0.6468831229377017
587,02,EVC,sus,3,0.6612068484086496
588,02,EVC,sus,4,0.6786321412087079
589,02,EVC,sus,5,0.6924895084417234
590,02,EVC,sus,6,0.7016055447829412
591,02,EVC,sus,7,0.7149735961687537
592,02,EVC,sus,8,0.7231803297377372
593,02,EVC,sus,9,0.731476981792703
594,02,EVC,sus,10,0.7375480123892139
595,02,EVC,sus,11,0.7419823571781325
596,02,EVC,sus,12,0.7461781428556019
597,02,EVC,sus,13,0.75023479413716
598,02,EVC,sus,14,0.7541466275300923
599,02,EVC,sus,15,0.7579891524025976
600,02,EVC,sus,16,0.7605308051864004
601,02,EVC,sus,17,0.7648042611239726
602,02,EVC,sus,18,0.7688717995442027
603,02,EVC,sus,19,0.7708593316382152
604,02,EVC,sus,20,0.7742305520100885
605,02,EVC,sus,21,0.7759216297986464
606,02,EVC,sus,22,0.7784833480483573
607,02,EVC,sus,23,0.7803910999977778
608,02,EVC,sus,24,0.7819481527364752
609,02,EVC,sus,25,0.7835812522370941
610,02,EVC,sus,26,0.7847850038409466
611,02,EVC,sus,27,0.7861526500746662
612,02,EVC,sus,28,0.7874978888674001
613,02,EVC,sus,29,0.7891922741106071
614,02,EVC,sus,30,0.7903183075708041
615,02,EVC,sus,31,0.7920758341029019
616,02,EVC,sus,32,0.7931332510548798
617,02,EVC,sus,33,0.7939577193482955
618,02,EVC,sus,34,0.7948930304600349
619,02,EVC,sus,35,0.7955891846853222
620,02,EVC,sus,36,0.7968746251496439
621,02,EVC,sus,37,0.7976390344091117
622,02,EVC,sus,38,0.7985414040889576
623,02,EVC,sus,39,0.7992023863136616
624,02,FFA,miniblock,1,0.4930857563734257
625,02,FFA,miniblock,2,0.5380210011663117
626,02,FFA,miniblock,3,0.567648859053529
627,02,FFA,miniblock,4,0.5835318167928945
628,02,FFA,miniblock,5,0.6009462582218232
